tenant_id,industry,query,expected_store_role,expected_location,ownership_group
sodimac,home_improvement,Easy Construmart Imperial Chilemat San Miguel Chile,competitor_store,san_miguel,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Santa Cruz Chile,competitor_store,santa_cruz,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Talagante Chile,competitor_store,talagante,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Talca Chile,competitor_store,talca,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Talca Colín Chile,competitor_store,talca_colin,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Temuco Cautín Chile,competitor_store,temuco_cautin,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Temuco Los Pablos Chile,competitor_store,temuco_los_pablos,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Valdivia Chile,competitor_store,valdivia,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Vallenar Chile,competitor_store,vallenar,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Valparaíso Chile,competitor_store,valparaiso,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Villarrica Chile,competitor_store,villarrica,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Viña del Mar Chile,competitor_store,vina_del_mar,competitor
